"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" ","Trim, Meath Division",26
" ","Tuam, Galway Division",39
" ","Tubbercurry, Sligo/Leitrim Division",17
" ","Tulla, Clare Division",3
" ","Tullamore, Laois/Offaly Division",39
" ","Tullow, Kilkenny/Carlow Division",11
" ","Tulsk, Roscommon/Longford Division",0
" ","Urlingford, Kilkenny/Carlow Division",7
" ","Virginia, Cavan/Monaghan Division",10
" ","Watercourse Road, Cork City Division",96
" ","Waterford, Waterford Division",163
" ","Watergrasshill, Cork North Division",1
" ","Westport, Mayo Division",22
" ","Wexford, Wexford Division",41
" ","Whitegate, Cork North Division",0
" ","Wicklow, Wicklow Division",20
" ","Williamstown, Galway Division",2
" ","Woodford, Galway Division",2
" ","Youghal, Cork North Division",14
"04 ,Dangerous or negligent acts"
" ","Abbeyfeale, Limerick Division",7
" ","Abbeyleix, Laois/Offaly Division",3
" ","Adare, Limerick Division",1
" ","Aglish, Waterford Division",0
" ","Ahascragh, Galway Division",1
" ","Ailt an Chorraiin, Donegal Division",0
" ","An Bun Beag, Donegal Division",4
" ","An Charraig, Donegal Division",0
" ","An Cheathru Rua, Galway Division",2
" ","An Clochain Liath, Donegal Division",1
" ","An Coirean, Kerry Division",1
" ","An Craoslach, Donegal Division",1
" ","An Fail Carrach, Donegal Division",4
" ","An Maim, Galway Division",5
" ","An Rinn, Waterford Division",0
" ","An Spideal, Galway Division",1
" ","Anglesea Street, Cork City Division",24
" ","Annascaul, Kerry Division",0
" ","Aran More, Galway Division",24
" ","Ard an Raitha, Donegal Division",1
" ","Ardee, Louth Division",9
" ","Ardfert, Kerry Division",4
" ","Ardfinnan, Tipperary Division",0
" ","Ardmore, Waterford Division",1
" ","Ardnacrusha, Limerick Division",2
" ","Ardrahan, Galway Division",2
" ","Arklow, Wicklow Division",16
" ","Arles, Laois/Offaly Division",0
" ","Arva, Cavan/Monaghan Division",3
" ","Ashbourne, Meath Division",12
" ","Ashford, Wicklow Division",12
" ","Askeaton, Limerick Division",1
" ","Athea, Limerick Division",0
" ","Athenry, Galway Division",9
" ","Athleague, Roscommon/Longford Division",1
" ","Athlone, Westmeath Division",20
" ","Athy, Kildare Division",10
" ","Aughrim, Wicklow Division",2
" ","Avoca, Wicklow Division",1
" ","Baile AÅtha Bui, Meath Division",3
" ","Baile an FheirtÈaraigh, Kerry Division",1
" ","Baile Bhuirne, Cork West Division",0
" ","Bailieboro, Cavan/Monaghan Division",3
" ","Balbriggan, D.M.R. Northern Division",20
" ","Balla, Mayo Division",1
" ","Ballaghderreen, Roscommon/Longford Division",3
" ","Ballina, Mayo Division",22
" ","Ballinagh, Cavan/Monaghan Division",6
" ","Ballinamore, Sligo/Leitrim Division",0
" ","Ballinasloe, Galway Division",10
" ","Ballincollig, Cork City Division",5
" ","Ballindine, Mayo Division",0
" ","Ballineen, Cork West Division",2
" ","Ballingarry North, Tipperary Division",0
" ","Ballingarry South, Tipperary Division",2
" ","Ballingarry, Limerick Division",1
" ","Ballinhassig, Cork West Division",6
" ","Ballinlough, Roscommon/Longford Division",1
" ","Ballinrobe, Mayo Division",1
" ","Ballintra, Donegal Division",2
" ","Ballivor, Meath Division",1
" ","Ballon, Kilkenny/Carlow Division",4
" ","Ballybay, Cavan/Monaghan Division",4
" ","Ballybofey, Donegal Division",8
" ","Ballybunion, Kerry Division",0
" ","Ballyconnell, Cavan/Monaghan Division",3
" ","Ballycotton, Cork North Division",0
" ","Ballycroy, Mayo Division",1
" ","Ballycullane, Wexford Division",1
" ","Ballydehob, Cork West Division",2
" ","Ballydesmond, Cork West Division",0
" ","Ballyduff,  Co. Kerry, Kerry Division",2
" ","Ballyfermot, D.M.R. Western Division",34
" ","Ballygar, Galway Division",0
" ","Ballyhale, Kilkenny/Carlow Division",3
" ","Ballyhaunis, Mayo Division",3
" ","Ballyheigue, Kerry Division",0
" ","Ballyjamesduff, Cavan/Monaghan Division",7
" ","Ballylanders, Limerick Division",0
" ","Ballylinan, Laois/Offaly Division",0
" ","Ballymacarberry, Waterford Division",0
" ","Ballymahon, Roscommon/Longford Division",6
" ","Ballymore, Westmeath Division",0
" ","Ballymote, Sligo/Leitrim Division",4
" ","Ballymun, D.M.R. Northern Division",15
" ","Ballynacargy, Westmeath Division",3
" ","Ballyneety, Limerick Division",1
" ","Ballynoe, Cork North Division",1
" ","Ballyporeen, Tipperary Division",0
" ","Ballyshannon, Donegal Division",3
" ","Ballyvaughan, Clare Division",0
" ","Baltimore, Cork West Division",0
" ","Baltinglass, Wicklow Division",2
" ","Banagher, Laois/Offaly Division",2
" ","Bandon, Cork West Division",15
" ","Bangor Erris, Mayo Division",2
" ","Bansha, Tipperary Division",1
" ","Bantry, Cork West Division",9
" ","Barnaderg, Galway Division",1
" ","Barraduff, Kerry Division",1
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",0
" ","BÈal an Mhuirthead, Mayo Division",7
" ","Belturbet, Cavan/Monaghan Division",1
" ","Bennettsbridge, Kilkenny/Carlow Division",2
" ","Birr,  Laois/Offaly Division",7
